date,site,rating,text,stay_type
"2025-09-02","じゃらん",4,"出張で1泊しました。ラウンジが静かで、読書や作業にちょうど良い空間でした。友人にもすすめたいと思います。","ビジネス"
"2025-09-02","じゃらん",4,"家族旅行で1泊しました。チェックイン時に子どもにも優しく声をかけてもらい、家族みんな安心できました。","家族"
"2025-09-03","Google",5,"仕事で利用しました。誕生日だと伝えたら、メッセージカードを用意してくださり感激しました。また利用したいです。","ビジネス"
"2025-09-04","Google",5,"家族旅行で1泊しました。掃除が行き届いていて清潔でした。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。","家族"
"2025-09-05","楽天トラベル",5,"2泊で利用しました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。次はもっとゆっくり泊まりたいです。","連泊"
"2025-09-05","じゃらん",4,"仕事で利用しました。急な延泊のお願いにも快く対応していただきました。また利用したいです。","ビジネス"
"2025-09-05","じゃらん",5,"接客が素晴らしかったです。","友人"
"2025-09-09","楽天トラベル",5,"出張で1泊しました。動画も止まらずに見られるくらいWi-Fiが快適でした。名物のだし巻き卵が絶品で、思わずおかわりしました。次はもっとゆっくり泊まりたいです。","ビジネス"
"2025-09-11","Google",3,"3泊で利用しました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。夜間はスタッフが一人だけのようで、対応を頼んでも1時間近く待ちました。港まで歩いて行けるので、散歩が楽しかったです。総合的には満足です。","連泊"
"2025-09-11","Google",5,"仕事で利用しました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。体調を崩した際、すぐに近くの薬局を調べてくださり助かりました。また利用したいです。","ビジネス"
"2025-09-12","楽天トラベル",5,"清掃の方が、子どもが置いていたおもちゃを並べ直してくれていて、ほっこりしました。","家族"
"2025-09-19","Google",4,"一人旅で1泊しました。ラウンジが静かで、読書や作業にちょうど良い空間でした。","一人旅"
"2025-09-19","楽天トラベル",3,"一人旅で1泊しました。チェックインで30分以上待たされ、説明もありませんでした。","一人旅"
"2025-09-23","じゃらん",5,"一人旅で1泊しました。ラウンジが静かで、読書や作業にちょうど良い空間でした。友人にもすすめたいと思います。","一人旅"
