received_date,channel,customer_type,content,rating,status,action
"2025-09-03","フロント","ビジネス","朝食のだし巻き卵の作り方を聞かれた。とても気に入ったとのこと。","","完了","スタッフ全員に共有した。"
"2025-09-04","アンケート","訪日外国人","駐車場の入口が分かりにくかった。","3","完了","対応済み。"
"2025-09-05","電話・メール","その他","朝食の品切れが多かったとのご意見（メール）。","","対応中","朝食の補充のタイミングを見直した。"
"2025-09-07","電話・メール","ビジネス","部屋のにおいが気になったとのご意見（メール）。","3","完了","設備担当が点検し、部品を交換した。"
"2025-09-07","アンケート","ビジネス","朝食の地元野菜のビュッフェがおいしかった。だし巻き卵が特に好評。","4","完了","スタッフ全員に共有した。"
"2025-09-10","アンケート","個人・カップル","駐車場の入口が分かりにくかった。","","完了","案内表示を追加した。"
"2025-09-10","旅行会社・団体","団体","団体の一部の部屋でエアコンの不調があったとのご報告。","","完了","設備担当が点検し、部品を交換した。"
"2025-09-11","電話・メール","家族","忘れ物の問い合わせ。保管していたため着払いで発送。","","完了","スタッフ全員に共有した。"
"2025-09-14","アンケート","その他","チェックインの説明が早口で分かりにくかった。","2","完了","朝礼で共有し、案内の手順を見直した。"
"2025-09-21","電話・メール","個人・カップル","朝食の品切れが多かったとのご意見（メール）。","","完了","朝食の時間延長を検討中。"
"2025-10-02","アンケート","ビジネス","チェックアウト後の荷物預かりが助かった。","4","完了","スタッフ全員に共有した。"
"2025-10-05","アンケート","ビジネス","フロントの方の笑顔と周辺のおすすめ案内がよかった。","4","完了","スタッフ全員に共有した。"
"2025-10-07","電話・メール","家族","電話がなかなかつながらなかったとのご指摘。","","完了","朝礼で共有し、案内の手順を見直した。"
"2025-10-09","アンケート","個人・カップル","隣の部屋の話し声が聞こえて気になった。","","完了","設備担当が点検し、部品を交換した。"
"2025-10-24","フロント","訪日外国人","朝食会場が満席で入れなかったとのご不満。","","完了","団体の朝食時間を分ける運用にした。"
"2025-10-26","アンケート","個人・カップル","ベッドが快適でよく眠れた。部屋も清潔だった。","5","完了","スタッフ全員に共有した。"
"2025-10-28","アンケート","家族","Wi-Fiが夜になると遅くなった。","","完了","回線業者に速度の調査を依頼した。"
"2025-10-28","フロント","個人・カップル","朝食のだし巻き卵の作り方を聞かれた。とても気に入ったとのこと。","","完了","スタッフ全員に共有した。"
"2025-11-01","アンケート","ビジネス","Wi-Fiが夜になると遅くなった。","2","完了","Wi-Fiの中継機の増設を検討中。"
"2025-11-03","アンケート","家族","Wi-Fiが速く、動画も問題なく見られた。","","完了","スタッフ全員に共有した。"
"2025-11-03","アンケート","個人・カップル","フロントの方の笑顔と周辺のおすすめ案内がよかった。","","完了","スタッフ全員に共有した。"
